Time_Index,NG,None
0,0.05306,0.0
1,3.98,0.0
2,3.98,0.0
3,3.98,0.0
4,3.98,0.0
5,3.98,0.0
6,3.98,0.0
7,3.98,0.0
8,3.98,0.0
9,3.98,0.0
10,3.98,0.0
11,3.98,0.0
12,3.98,0.0
13,3.98,0.0
14,3.98,0.0
15,3.98,0.0
16,3.98,0.0
17,3.98,0.0
18,3.98,0.0
19,3.98,0.0
20,3.98,0.0
21,3.98,0.0
22,3.98,0.0
23,3.98,0.0
24,3.98,0.0
25,3.98,0.0
26,3.98,0.0
27,3.98,0.0
28,3.98,0.0
29,3.98,0.0
30,3.98,0.0
31,3.98,0.0
32,3.98,0.0
33,3.98,0.0
34,3.98,0.0
35,3.98,0.0
36,3.98,0.0
37,3.98,0.0
38,3.98,0.0
39,3.98,0.0
40,3.98,0.0
41,3.98,0.0
42,3.98,0.0
43,3.98,0.0
44,3.98,0.0
45,3.98,0.0
46,3.98,0.0
47,3.98,0.0
48,3.98,0.0
49,3.98,0.0
50,3.98,0.0
51,3.98,0.0
52,3.98,0.0
53,3.98,0.0
54,3.98,0.0
55,3.98,0.0
56,3.98,0.0
57,3.98,0.0
58,3.98,0.0
59,3.98,0.0
60,3.98,0.0
61,3.98,0.0
62,3.98,0.0
63,3.98,0.0
64,3.98,0.0
65,3.98,0.0
66,3.98,0.0
67,3.98,0.0
68,3.98,0.0
69,3.98,0.0
70,3.98,0.0
71,3.98,0.0
72,3.98,0.0
73,3.98,0.0
74,3.98,0.0
75,3.98,0.0
76,3.98,0.0
77,3.98,0.0
78,3.98,0.0
79,3.98,0.0
80,3.98,0.0
81,3.98,0.0
82,3.98,0.0
83,3.98,0.0
84,3.98,0.0
85,3.98,0.0
86,3.98,0.0
87,3.98,0.0
88,3.98,0.0
89,3.98,0.0
90,3.98,0.0
91,3.98,0.0
92,3.98,0.0
93,3.98,0.0
94,3.98,0.0
95,3.98,0.0
96,3.98,0.0
97,3.98,0.0
98,3.98,0.0
99,3.98,0.0
100,3.98,0.0
101,3.98,0.0
102,3.98,0.0
103,3.98,0.0
104,3.98,0.0
105,3.98,0.0
106,3.98,0.0
107,3.98,0.0
108,3.98,0.0
109,3.98,0.0
110,3.98,0.0
111,3.98,0.0
112,3.98,0.0
113,3.98,0.0
114,3.98,0.0
115,3.98,0.0
116,3.98,0.0
117,3.98,0.0
118,3.98,0.0
119,3.98,0.0
120,3.98,0.0
121,3.98,0.0
122,3.98,0.0
