Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
50000,1,1,1,2000,1,8760,8760,1,7850,2242,1070
,2,0.9,0.04,1800,,,,2,7424,2120,1012
,3,0.55,0.024,1100,,,,3,7107,2029,969
,4,0.2,0.003,400,,,,4,6947,1984,947
,,,,,,,,5,6922,1977,944
,,,,,,,,6,7045,2012,960
,,,,,,,,7,7307,2087,996
,,,,,,,,8,7544,2154,1029
,,,,,,,,9,7946,2269,1083
,,,,,,,,10,8340,2382,1137
,,,,,,,,11,8578,2449,1169
,,,,,,,,12,8666,2474,1181
,,,,,,,,13,8707,2487,1187
,,,,,,,,14,8630,2464,1176
,,,,,,,,15,8544,2440,1165
,,,,,,,,16,8594,2454,1171
,,,,,,,,17,9431,2693,1286
,,,,,,,,18,10225,2920,1394
,,,,,,,,19,10165,2903,1386
,,,,,,,,20,9854,2815,1343
,,,,,,,,21,9490,2710,1294
,,,,,,,,22,8982,2565,1225
,,,,,,,,23,8353,2385,1139
,,,,,,,,24,7648,2184,1042
,,,,,,,,25,7051,2013,961
,,,,,,,,26,6689,1910,912
,,,,,,,,27,6515,1861,888
,,,,,,,,28,6476,1849,883
,,,,,,,,29,6618,1890,902
,,,,,,,,30,6980,1993,951
,,,,,,,,31,7523,2148,1025
,,,,,,,,32,7968,2275,1086
,,,,,,,,33,8513,2431,1161
,,,,,,,,34,9072,2591,1236
,,,,,,,,35,9482,2708,1292
,,,,,,,,36,9650,2755,1316
,,,,,,,,37,9635,2751,1313
,,,,,,,,38,9572,2734,1305
,,,,,,,,39,9542,2725,1301
,,,,,,,,40,9687,2766,1321
,,,,,,,,41,10596,3026,1444
,,,,,,,,42,11515,3289,1570
,,,,,,,,43,11414,3260,1556
,,,,,,,,44,11138,3181,1519
,,,,,,,,45,10688,3052,1457
