Region description,Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,Line_Max_Flow_MW,Line_Min_Flow_MW,Transmission_Path_Name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,CapRes_1,CapRes_2,CapRes_3,CapRes_4,DerateCapRes_1,DerateCapRes_2,DerateCapRes_3,DerateCapRes_4,CapRes_Excl_1,CapRes_Excl_2,CapRes_Excl_3,CapRes_Excl_4
CA_N,z1,1,1,-1,0,0,0,0,3675,-3000,CA_N_to_CA_S,336.6139,0.033661394,3675,55061.70563,1,0,0,0,0.95,0.95,0.95,0.95,0,0,0,0
CA_S,z2,2,1,0,-1,0,0,0,100,-100,CA_N_to_WECC_N,490.2731,0.04902731,100,57538.82894,1,0,0,0,0.95,0.95,0.95,0.95,1,-1,0,0
WECC_N,z3,3,1,0,0,0,-1,0,3675,-4200,CA_N_to_WECC_PNW,463.8916,0.046389163,3675,75823.05935,1,0,0,0,0.95,0.95,0.95,0.95,1,-1,0,0
WECC_NMAZ,z4,4,0,1,-1,0,0,0,1400,-1920,CA_S_to_WECC_N,555.9141,0.055591405,1400,48991.47231,1,0,0,0,0.95,0.95,0.95,0.95,1,-1,0,0
WECC_PNW,z5,5,0,1,0,-1,0,0,10464,-8794,CA_S_to_WECC_NMAZ,446.7286,0.044672864,10464,53523.37907,1,0,0,0,0.95,0.95,0.95,0.95,1,0,0,-1
WECC_WYCO,z6,6,0,1,0,0,-1,0,2858,-2600,CA_S_to_WECC_PNW,727.9554,0.07279554,2858,86550.94715,1,0,0,0,0.95,0.95,0.95,0.95,1,-1,0,0
,,7,0,0,1,-1,0,0,740,-800,WECC_N_to_WECC_NMAZ,598.8333,0.059883333,740,50722.24712,0,1,0,0,0.95,0.95,0.95,0.95,0,1,0,-1
,,8,0,0,1,0,-1,0,5150,-2450,WECC_N_to_WECC_PNW,387.3433,0.038734328,5150,71038.54308,0,1,0,0,0.95,0.95,0.95,0.95,0,0,0,0
,,9,0,0,1,0,0,-1,4150,-6350,WECC_N_to_WECC_WYCO,384.2886,0.038428857,4150,36949.91815,0,1,0,0,0.95,0.95,0.95,0.95,0,1,-1,0
,,10,0,0,0,1,0,-1,664,-614,WECC_NMAZ_to_WECC_WYCO,485.1773,0.048517733,664,64641.83072,0,0,0,1,0.95,0.95,0.95,0.95,0,0,-1,1
