Time_Index,NG,None,coal,blue_ammonia
0,0.05306,0.0,0.09566,0.01
1,5.28,0.0,1.8729355,1.8729355
2,5.28,0.0,1.8729355,1.8729355
3,5.28,0.0,1.8729355,1.8729355
4,5.28,0.0,1.8729355,1.8729355
5,5.28,0.0,1.8729355,1.8729355
6,5.28,0.0,1.8729355,1.8729355
7,5.28,0.0,1.8729355,1.8729355
8,5.28,0.0,1.8729355,1.8729355
9,5.28,0.0,1.8729355,1.8729355
10,5.28,0.0,1.8729355,1.8729355
11,5.28,0.0,1.8729355,1.8729355
12,5.28,0.0,1.8729355,1.8729355
13,5.28,0.0,1.8729355,1.8729355
14,5.28,0.0,1.8729355,1.8729355
15,5.28,0.0,1.8729355,1.8729355
16,5.28,0.0,1.8729355,1.8729355
17,5.28,0.0,1.8729355,1.8729355
18,5.28,0.0,1.8729355,1.8729355
19,5.28,0.0,1.8729355,1.8729355
20,5.28,0.0,1.8729355,1.8729355
21,5.28,0.0,1.8729355,1.8729355
22,5.28,0.0,1.8729355,1.8729355
23,5.28,0.0,1.8729355,1.8729355
24,5.28,0.0,1.8729355,1.8729355
25,3.69,0.0,1.8729355,1.8729355
26,3.69,0.0,1.8729355,1.8729355
27,3.69,0.0,1.8729355,1.8729355
28,3.69,0.0,1.8729355,1.8729355
29,3.69,0.0,1.8729355,1.8729355
30,3.69,0.0,1.8729355,1.8729355
31,3.69,0.0,1.8729355,1.8729355
32,3.69,0.0,1.8729355,1.8729355
33,3.69,0.0,1.8729355,1.8729355
34,3.69,0.0,1.8729355,1.8729355
35,3.69,0.0,1.8729355,1.8729355
36,3.69,0.0,1.8729355,1.8729355
37,3.69,0.0,1.8729355,1.8729355
38,3.69,0.0,1.8729355,1.8729355
39,3.69,0.0,1.8729355,1.8729355
40,3.69,0.0,1.8729355,1.8729355
41,3.69,0.0,1.8729355,1.8729355
42,3.69,0.0,1.8729355,1.8729355
43,3.69,0.0,1.8729355,1.8729355
44,3.69,0.0,1.8729355,1.8729355
45,3.69,0.0,1.8729355,1.8729355
46,3.69,0.0,1.8729355,1.8729355
47,3.69,0.0,1.8729355,1.8729355
48,3.69,0.0,1.8729355,1.8729355
49,2.23,0.0,1.8729355,1.8729355
50,2.23,0.0,1.8729355,1.8729355
51,2.23,0.0,1.8729355,1.8729355
52,2.23,0.0,1.8729355,1.8729355
53,2.23,0.0,1.8729355,1.8729355
54,2.23,0.0,1.8729355,1.8729355
55,2.23,0.0,1.8729355,1.8729355
56,2.23,0.0,1.8729355,1.8729355
57,2.23,0.0,1.8729355,1.8729355
58,2.23,0.0,1.8729355,1.8729355
59,2.23,0.0,1.8729355,1.8729355
60,2.23,0.0,1.8729355,1.8729355
61,2.23,0.0,1.8729355,1.8729355
62,2.23,0.0,1.8729355,1.8729355
63,2.23,0.0,1.8729355,1.8729355
64,2.23,0.0,1.8729355,1.8729355
65,2.23,0.0,1.8729355,1.8729355
66,2.23,0.0,1.8729355,1.8729355
67,2.23,0.0,1.8729355,1.8729355
68,2.23,0.0,1.8729355,1.8729355
69,2.23,0.0,1.8729355,1.8729355
70,2.23,0.0,1.8729355,1.8729355
71,2.23,0.0,1.8729355,1.8729355
72,2.23,0.0,1.8729355,1.8729355
73,2.34,0.0,1.8729355,1.8729355
74,2.34,0.0,1.8729355,1.8729355
75,2.34,0.0,1.8729355,1.8729355
76,2.34,0.0,1.8729355,1.8729355
77,2.34,0.0,1.8729355,1.8729355
78,2.34,0.0,1.8729355,1.8729355
79,2.34,0.0,1.8729355,1.8729355
80,2.34,0.0,1.8729355,1.8729355
81,2.34,0.0,1.8729355,1.8729355
82,2.34,0.0,1.8729355,1.8729355
83,2.34,0.0,1.8729355,1.8729355
84,2.34,0.0,1.8729355,1.8729355
85,2.34,0.0,1.8729355,1.8729355
86,2.34,0.0,1.8729355,1.8729355
87,2.34,0.0,1.8729355,1.8729355
88,2.34,0.0,1.8729355,1.8729355
89,2.34,0.0,1.8729355,1.8729355
90,2.34,0.0,1.8729355,1.8729355
91,2.34,0.0,1.8729355,1.8729355
92,2.34,0.0,1.8729355,1.8729355
93,2.34,0.0,1.8729355,1.8729355
94,2.34,0.0,1.8729355,1.8729355
95,2.34,0.0,1.8729355,1.8729355
96,2.34,0.0,1.8729355,1.8729355
97,2.74,0.0,1.8729355,1.8729355
98,2.74,0.0,1.8729355,1.8729355
99,2.74,0.0,1.8729355,1.8729355
100,2.74,0.0,1.8729355,1.8729355
101,2.74,0.0,1.8729355,1.8729355
102,2.74,0.0,1.8729355,1.8729355
103,2.74,0.0,1.8729355,1.8729355
104,2.74,0.0,1.8729355,1.8729355
105,2.74,0.0,1.8729355,1.8729355
106,2.74,0.0,1.8729355,1.8729355
107,2.74,0.0,1.8729355,1.8729355
108,2.74,0.0,1.8729355,1.8729355
109,2.74,0.0,1.8729355,1.8729355
110,2.74,0.0,1.8729355,1.8729355
111,2.74,0.0,1.8729355,1.8729355
112,2.74,0.0,1.8729355,1.8729355
113,2.74,0.0,1.8729355,1.8729355
114,2.74,0.0,1.8729355,1.8729355
115,2.74,0.0,1.8729355,1.8729355
116,2.74,0.0,1.8729355,1.8729355
117,2.74,0.0,1.8729355,1.8729355
118,2.74,0.0,1.8729355,1.8729355
119,2.74,0.0,1.8729355,1.8729355
120,2.74,0.0,1.8729355,1.8729355
