Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9
2000000,1,1,1,2000,1,24,24,1,0,0,0,0,108,0,120,0,150
,2,0.9,0.04,1800,,,,2,0,0,0,0,94.2,0,134.52,0,128.4
,3,0.55,0.024,1100,,,,3,0,0,0,0,89.088,0,127.2,0,121.44
,4,0.2,0.003,400,,,,4,0,0,0,0,85.284,0,121.74,0,116.28
,,,,,,,,5,0,0,0,0,83.364,0,119.04,0,113.64
,,,,,,,,6,0,0,0,0,83.064,0,118.62,0,113.28
,,,,,,,,7,0,0,0,0,84.54,0,120.72,0,115.2
,,,,,,,,8,0,0,0,0,87.684,0,125.22,0,119.52
,,,,,,,,9,0,0,0,0,90.528,0,129.24,0,123.48
,,,,,,,,10,0,0,0,0,95.352,0,136.14,0,129.96
,,,,,,,,11,0,0,0,0,100.08,0,142.92,0,136.44
,,,,,,,,12,0,0,0,0,102.936,0,146.94,0,140.28
,,,,,,,,13,0,0,0,0,103.992,0,148.44,0,141.72
,,,,,,,,14,0,0,0,0,104.484,0,149.22,0,142.44
,,,,,,,,15,0,0,0,0,103.56,0,147.84,0,141.12
,,,,,,,,16,0,0,0,0,102.528,0,146.4,0,139.8
,,,,,,,,17,0,0,0,0,103.128,0,147.24,0,140.52
,,,,,,,,18,0,0,0,0,113.172,0,161.58,0,154.32
,,,,,,,,19,0,0,0,0,122.7,0,175.2,0,167.28
,,,,,,,,20,0,0,0,0,121.98,0,174.18,0,166.32
,,,,,,,,21,0,0,0,0,118.248,0,168.9,0,161.16
,,,,,,,,22,0,0,0,0,113.88,0,162.6,0,155.28
,,,,,,,,23,0,0,0,0,107.784,0,153.9,0,147
,,,,,,,,24,0,0,0,0,100.236,0,143.1,0,136.68
