Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
50000,1,1.0,1.0,2000,11,168,673.8461538461539,1,6368.294623094981,1818.8361410597092,867.6759018417205
,2,0.9,0.04,1800,,,1179.2307692307693,2,6105.239296493647,1743.2557941295431,832.3406841196595
,3,0.55,0.024,1100,,,842.3076923076924,3,5984.508680180348,1708.9010909794677,815.6546090842418
,4,0.2,0.003,400,,,673.8461538461539,4,5982.5455807281,1708.9010909794677,815.6546090842418
,,,,,,,1516.1538461538462,5,6188.6710232142195,1767.7948678081684,843.1375562014003
,,,,,,,1179.2307692307693,6,6879.682030405783,1965.089020184316,937.3648034602297
,,,,,,,168.46153846153848,7,8167.47527108097,2332.193562416551,1114.0408920705347
,,,,,,,1853.076923076923,8,8919.342361292245,2547.155847841309,1216.1204099342667
,,,,,,,336.92307692307696,9,9131.357102135113,2608.0127505642995,1244.584890877038
,,,,,,,168.46153846153848,10,9252.08771844841,2642.367453714375,1261.2709659124557
,,,,,,,168.46153846153848,11,9404.22792599769,2685.556223388756,1281.8831762503246
,,,,,,,,12,9481.770354361515,2708.132171173091,1292.6800483320656
,,,,,,,,13,9485.696553266012,2709.113734120236,1293.6615821576784
,,,,,,,,14,9522.013893132615,2718.929363591686,1297.5877174601296
,,,,,,,,15,9447.416113947162,2698.3165417016407,1287.7723792040015
,,,,,,,,16,9337.482544621233,2666.9065273930005,1273.0493718198095
,,,,,,,,17,9265.829414614152,2646.293705502955,1263.2340335636814
,,,,,,,,18,9263.866315161904,2645.31214255581,1263.2340335636814
,,,,,,,,19,9334.537895442858,2665.9249644458555,1273.0493718198095
,,,,,,,,20,9848.869951932034,2812.1778435704623,1342.7382734383186
,,,,,,,,21,9622.131965197303,2748.3762520060363,1312.3107248443216
,,,,,,,,22,8885.969670604018,2537.3402183698586,1211.2127408062026
,,,,,,,,23,7934.847985989492,2266.4288449578353,1081.6502758253123
,,,,,,,,24,7088.7521220702765,2024.9643599601618,965.8292844030011
,,,,,,,,25,6534.176526810001,1865.9511625226698,891.2327136564278
,,,,,,,,26,6246.582457055558,1784.4814379096338,851.9713606319156
,,,,,,,,27,6114.073244028767,1746.200482970978,833.3222179452723
,,,,,,,,28,6073.829705257666,1734.421727605238,827.4330149915954
,,,,,,,,29,6265.231901851921,1789.3892526453587,853.9344282831412
,,,,,,,,30,6908.14697246339,1972.9415237614762,941.290938762681
,,,,,,,,31,8162.567522450348,2331.211999469406,1113.059358244922
,,,,,,,,32,8890.87741923464,2539.3033442641486,1212.1942746318155
,,,,,,,,33,9069.519469389275,2590.344617515689,1236.7326202721356
,,,,,,,,34,9162.766693371092,2616.846817088605,1248.5110261794891
,,,,,,,,35,9293.312806945634,2654.146209080115,1267.1601688661326
,,,,,,,,36,9375.762983940083,2677.7037198115954,1277.9570409478733
,,,,,,,,37,9413.06187353281,2688.500912230191,1283.8462439015502
,,,,,,,,38,9487.659652718263,2709.113734120236,1293.6615821576784
,,,,,,,,39,9462.139359839028,2702.2427934902207,1289.735446855227
,,,,,,,,40,9416.988072437307,2689.482475177336,1283.8462439015502
,,,,,,,,41,9411.098774080561,2687.519349283046,1282.8647100759374
,,,,,,,,42,9434.655967507546,2694.3902899130608,1285.8093115527759
,,,,,,,,43,9446.434564221037,2698.3165417016407,1287.7723792040015
,,,,,,,,44,9946.043374818348,2840.6431690376676,1356.4797469968978
,,,,,,,,45,9782.124570555576,2793.528147574707,1332.9229351821905
,,,,,,,,46,9070.5010191154,2590.344617515689,1236.7326202721356
,,,,,,,,47,8087.969743264895,2309.6176146322155,1102.2624861631812
,,,,,,,,48,7236.966130715057,2066.1900037402525,986.44149474087
,,,,,,,,49,6653.925593397175,1900.3058656727453,906.9372548662327
,,,,,,,,50,6345.71897939412,1811.965200429694,864.731300364882
,,,,,,,,51,6167.0769292394825,1760.9239271781535,841.1744885501747
,,,,,,,,52,6121.925641837761,1748.163608865268,834.3037517708851
,,,,,,,,53,6280.9366974699105,1794.2970673810837,856.8790297599796
,,,,,,,,54,6890.479077393151,1968.033709025751,939.3278711114554
,,,,,,,,55,8135.084130118866,2323.359495892246,1109.1332229424709
,,,,,,,,56,8869.283325259903,2532.4324036341336,1209.249673154977
,,,,,,,,57,9157.85894474047,2615.86525414146,1248.5110261794891
,,,,,,,,58,9336.500994895108,2665.9249644458555,1273.0493718198095
,,,,,,,,59,9530.847840667735,2721.874052433121,1298.5692512857424
,,,,,,,,60,9650.596907254909,2756.2287555831967,1316.2368601467729
,,,,,,,,61,9682.988048217014,2765.0628221075017,1320.1629954492241
,,,,,,,,62,9737.95483287998,2781.749392208967,1328.0152660541264
,,,,,,,,63,9709.489890822371,2772.9153256846616,1323.1075969260626
,,,,,,,,64,9660.412404516153,2759.1734444246317,1317.2183939723857
,,,,,,,,65,9635.873661363043,2752.3025037946163,1313.2922586699344
,,,,,,,,66,9633.910561910794,2751.3209408474713,1313.2922586699344
,,,,,,,,67,9597.593222044192,2741.5053113760214,1308.3845895418704
,,,,,,,,68,10055.976944144279,2871.0716203991633,1371.20275438109
,,,,,,,,69,9884.205742072512,2822.9750359890572,1347.6459425663827
,,,,,,,,70,9187.305436524202,2623.71775771862,1252.4371614819404
,,,,,,,,71,8227.349804374557,2349.861695465161,1120.9116288498244
,,,,,,,,72,7337.084202779744,2094.6553292074577,1000.1829682994493
,,,,,,,,73,6796.25030368521,1941.5315094528357,926.5679313784889
,,,,,,,,74,6439.94775310206,1838.4674000026093,877.4912400978486
,,,,,,,,75,6261.305702947423,1788.4076896982137,852.9528944575284
,,,,,,,,76,6198.486520475463,1769.7579937024584,845.100623852626
,,,,,,,,77,6336.885031859,1809.020511588259,863.7497665392693
,,,,,,,,78,6930.722616164251,1979.8124643914912,945.2170740651321
,,,,,,,,79,8162.567522450348,2331.211999469406,1113.059358244922
,,,,,,,,80,8899.711366769758,2542.2480331055835,1213.1758084574283
,,,,,,,,81,9196.139384059321,2625.68088361291,1253.4186953075532
,,,,,,,,82,9423.858920520177,2691.445601071626,1284.827777727163
,,,,,,,,83,9656.486205611656,2758.1918814774867,1316.2368601467729
,,,,,,,,84,9783.1061202817,2793.528147574707,1333.9044690078033
,,,,,,,,85,9816.47881096993,2803.3437770461574,1337.8306043102546
,,,,,,,,86,9927.393930021984,2835.7353543019426,1353.5351455200594
,,,,,,,,87,9925.430830569736,2834.7537913547976,1352.5536116944468
,,,,,,,,88,9909.726034951746,2829.8459766190726,1351.572077868834
,,,,,,,,89,9893.03968960763,2825.9197248304927,1348.6274763919955
,,,,,,,,90,9853.777700562656,2814.1409694647523,1342.7382734383186
,,,,,,,,91,9750.714979319597,2784.694081050402,1328.9967998797392
,,,,,,,,92,10171.799811826955,2905.4263235492385,1386.9072955908948
,,,,,,,,93,10030.456651265045,2865.182242716293,1367.2766190786388
,,,,,,,,94,9347.298041882475,2669.8512162344355,1274.030905645422
,,,,,,,,95,8355.93281849685,2386.179524509527,1139.5607715364677
,,,,,,,,96,7478.427363341655,2135.8809729875484,1019.8136448117054
,,,,,,,,97,6912.073171367888,1973.9230867086212,942.2724725882938
,,,,,,,,98,6560.678369415359,1872.8221031526848,894.1773151332662
,,,,,,,,99,6341.792780489623,1810.983637482549,864.731300364882
,,,,,,,,100,6272.102749934791,1791.3523785396487,854.915962108754
,,,,,,,,101,6406.575062413832,1828.6517705311592,872.5835709697845
,,,,,,,,102,6965.076856578604,1989.6280938629413,949.1432093675834
,,,,,,,,103,8129.194831762119,2321.396369997956,1108.151689116858
,,,,,,,,104,8872.227974438276,2534.3955295284236,1209.249673154977
,,,,,,,,105,9163.748243097216,2616.846817088605,1248.5110261794891
,,,,,,,,106,9354.168889965345,2671.8143421287255,1275.012439471035
,,,,,,,,107,9520.050793680366,2718.929363591686,1297.5877174601296
,,,,,,,,108,9566.183630808213,2731.6896819045714,1303.4769204138063
,,,,,,,,109,9490.604301896636,2710.095297067381,1293.6615821576784
,,,,,,,,110,9513.179945597496,2716.966237697396,1296.6061836345168
,,,,,,,,111,9425.822019972426,2692.427164018771,1284.827777727163
,,,,,,,,112,9312.943801468122,2660.035586762985,1269.1232365173582
,,,,,,,,113,9251.106168722286,2641.38589076723,1261.2709659124557
,,,,,,,,114,9149.024997205352,2612.9205653000245,1247.5294923538763
